[29152:18928:0921/114255.988:WARNING:chrome_main_delegate.cc(745)] This is Chrome version 128.0.6613.138 (not a warning)
[29152:7316:0921/114256.178:ERROR:google_update_settings.cc(265)] Failed opening key Software\Chromium to set usagestats; result: 5
[29152:18928:0921/114256.262:WARNING:account_consistency_mode_manager.cc(77)] Desktop Identity Consistency cannot be enabled as no OAuth client ID and client secret have been configured.
[29152:10340:0921/114300.770:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[29152:10340:0921/114300.777:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[29152:10340:0921/114300.780:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[29152:10340:0921/114300.784:WARNING:leveldb_database.cc(141)] Unable to open C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata: IO error: C:\Users\Dell 5530\OneDrive\Documents\GitHub\FPSGame\GADE7222_POE 5.7\Saved\webcache_6613\Default\shared_proto_db\metadata/MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[29152:22636:0921/114301.585:WARNING:value_store_frontend.cc(47)] Reading ahfgeienlihckogmohjhadlkjgocpleb.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[29152:22636:0921/114301.590:WARNING:value_store_frontend.cc(47)] Reading mhjfbmdgcfjbbpaeojofohoefgiehjai.alarms from  failed: IO error: .../MANIFEST-000001: Unable to create sequential file (ChromeMethodBFE: 7::NewSequentialFile::1)
[16628:28792:0921/114302.202:WARNING:frame_impl.cc(430)] virtual CefFrameImpl::SendProcessMessage sent to detached frame 5-5984398E9FB8974D9FED6BB3224D2777 will be ignored
[29152:14768:0921/114304.385:ERROR:cast_crl.cc(443)] CRL - Verification failed.
[29152:18928:0921/114707.266:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/114932.629:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/114937.629:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/114947.640:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/114952.965:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/115102.974:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/115107.974:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/115333.672:WARNING:page_discarding_helper.cc(138)] Discarding multiple pages with target (kb): 0
[29152:18928:0921/120226.324:ERROR:device_event_log_impl.cc(196)] [12:02:26.036] USB: usb_service_win.cc:105 SetupDiGetDeviceProperty({{A45C254E-DF1C-4EFD-8020-67D146A850E0}, 6}) failed: Element not found. (0x490)
[29152:14768:0921/123555.540:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=23})
[29152:14768:0921/123602.540:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=24})
[29152:14768:0921/123607.541:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123615.543:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=24})
[29152:14768:0921/123623.543:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123633.546:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=24})
[29152:14768:0921/123635.543:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=23})
[29152:14768:0921/123637.544:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=24})
[29152:14768:0921/123640.544:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123643.545:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123647.543:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123649.549:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=24})
[29152:14768:0921/123654.544:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123657.545:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123659.544:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=27})
[29152:14768:0921/123721.549:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123722.551:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123731.550:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123732.551:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=27})
[29152:14768:0921/123737.554:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123738.553:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123747.553:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123748.554:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=27})
[29152:14768:0921/123753.561:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
[29152:14768:0921/123755.554:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=25})
[29152:14768:0921/123759.555:VERBOSE1:media_stream_manager.cc(1533)] MSPL::OnSpeedLimitChange({this=0000195C001B6D40}, {new_limit=26})
